[Gives, 2
paper.], 2
Farewell,, 3
commend, 4
duty., 2
Cor.,, 1
Volt., 2
that,, 17
things,, 1
doubt, 6
Heartily, 1
farewell., 2
Exeunt, 19
Voltemand, 1
Cornelius., 2
what's, 5
news, 7
told, 5
suit., 1
is't,, 5
Laertes?, 6
cannot, 24
reason, 10
Dane, 1
lose, 6
voice., 2
wouldst, 5
beg,, 1
offer,, 1
asking?, 1
native, 4
heart,, 8
instrumental, 1
mouth,, 4
Than, 12
throne, 1
father., 7
have,, 3
Laer., 62
My, 75
dread, 5
lord,, 81
leave, 17
favour, 3
return, 3
France;, 2
From, 11
whence, 1
willingly, 2
came, 8
duty, 10
coronation,, 1
must, 55
confess,, 1
thoughts, 12
wishes, 1
bend, 3
toward, 5
France, 3
bow, 2
pardon., 1
father's, 18
leave?, 2
Polonius?, 3
Pol., 86
hath,, 2
wrung, 1
slow, 3
laboursome, 1
petition,, 1
hard, 4
consent., 1
beseech, 7
give, 37
go., 6
Take, 10
Laertes., 7
Time, 2
thine,, 2
best, 9
graces, 1
spend, 1
will!, 2
cousin, 2
son-, 1
Ham., 358
[aside], 10
kin,, 1
less, 6
kind!, 1
clouds, 2
hang, 3
so,, 13
lord., 61
too, 32
i', 23
sun., 2
Queen., 78
nighted, 1
colour, 2
off,, 3
thine, 9
eye, 4
ever, 10
vailed, 1
lids, 1
Seek, 2
noble, 17
dust., 1
know'st, 2
common., 2
All, 12
lives, 3
die,, 2
Passing, 1
eternity., 1
Ay,, 34
madam,, 4
be,, 9
seems, 4
thee?, 4
Seems,, 1
is., 4
'seems.', 1
alone, 6
inky, 1
cloak,, 1
mother,, 7
Nor, 16
customary, 1
suits, 2
solemn, 3
black,, 3
windy, 1
suspiration, 1
forc'd, 2
breath,, 3
No,, 25
fruitful, 1
river, 1
dejected, 1
havior, 1
visage,, 2
forms,, 2
moods,, 1
shapes, 3
'That, 1
denote, 1
truly., 1
These, 12
indeed, 11
seem,, 1
actions, 2
man, 32
play;, 2
within, 9
passeth, 1
show-, 1
trappings, 1
woe., 1
sweet, 18
commendable, 1
nature,, 8
mourning, 1
duties, 1
father;, 7
lost, 4
lost,, 2
his,, 1
survivor, 1
bound, 4
filial, 1
obligation, 2
term, 2
obsequious, 1
sorrow., 1
persever, 1
obstinate, 1
condolement, 1
impious, 1
stubbornness., 1
unmanly, 1
grief;, 2
shows, 7
incorrect, 1
heaven,, 13
heart, 11
unfortified,, 1
mind, 8
impatient,, 1
An, 6
understanding, 3
simple, 1
unschool'd;, 1
common, 5
vulgar, 1
sense,, 2
should, 51
peevish, 1
opposition, 2
heart?, 1
Fie!, 1
fault, 4
dead,, 4
absurd,, 1
theme, 2
fathers,, 2
who, 12
cried,, 1
first, 11
corse, 2
till, 10
died, 2
to-day,, 1
'This, 2
so.', 1
pray, 17
throw, 5
unprevailing, 1
note, 5
immediate, 2
throne,, 1
nobility, 1
love, 39
dearest, 2
bears, 1
you., 36
intent, 1
going, 2
back, 6
school, 1
Wittenberg,, 2
